# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
298.0000 RadioM51 100000 8 19.0000 Node151 Node18 29 N Node151->Node150->Node215->Node219->Node203->Node15->Node16->Node17->Node18
300.0000 RadioM55 100000 5 12.0000 Node80 Node67 29 N Node80->Node208->Node207->Node65->Node66->Node67
301.0000 RadioM53 100000 6 16.0000 Node117 Node144 29 N Node117->Node116->Node115->Node209->Node213->Node145->Node144
305.0000 RadioM54 100000 7 18.0000 Node162 Node74 29 N Node162->Node161->Node160->Node217->Node201->Node205->Node75->Node74
313.0000 RadioM57 100000 4 16.0000 Node112 Node90 29 N Node112->Node111->Node110->Node210->Node90
316.0000 RadioM56 100000 7 20.0000 Node116 Node187 29 N Node116->Node115->Node211->Node215->Node219->Node185->Node186->Node187
318.0000 RadioM59 100000 6 14.0000 Node61 Node93 29 N Node61->Node60->Node207->Node211->Node95->Node94->Node93
320.0000 RadioM60 100000 5 11.0000 Node60 Node103 29 N Node60->Node207->Node211->Node105->Node104->Node103
324.0000 RadioM58 100000 7 23.0000 Node143 Node93 29 N Node143->Node144->Node145->Node212->Node209->Node95->Node94->Node93
331.0000 RadioM61 100000 6 13.0000 Node60 Node66 29 N Node60->Node61->Node62->Node63->Node64->Node65->Node66
346.0000 RadioM62 100000 8 19.0000 Node9 Node179 29 N Node9->Node10->Node203->Node219->Node175->Node176->Node177->Node178->Node179
347.0000 RadioM63 100000 6 16.0000 Node168 Node100 29 N Node168->Node169->Node170->Node219->Node215->Node211->Node100
348.0000 RadioM64 100000 6 14.0000 Node89 Node143 29 N Node89->Node90->Node209->Node213->Node145->Node144->Node143
350.0000 RadioM66 100000 5 12.0000 Node196 Node162 29 N Node196->Node195->Node217->Node160->Node161->Node162
355.0000 RadioM67 100000 5 14.0000 Node116 Node141 29 N Node116->Node115->Node209->Node214->Node140->Node141
355.0000 RadioM65 100000 5 19.0000 Node124 Node15 29 N Node124->Node125->Node215->Node219->Node201->Node15
357.0000 RadioM68 100000 5 13.0000 Node11 Node44 29 N Node11->Node10->Node201->Node205->Node45->Node44
371.0000 RadioM69 100000 8 18.0000 Node37 Node117 29 N Node37->Node36->Node35->Node203->Node207->Node210->Node115->Node116->Node117
376.0000 RadioM70 100000 7 18
